"Scenario_EpCon_ID_Resp","generated response","group"
"scenario 1_knowledge_5_1","Call for a tow truck and cab.",""
"scenario 1_knowledge_6_1","He can call an Uber",""
"scenario 1_knowledge_11_1","cancel the trip",""
"scenario 1_knowledge_19_1","Check Public Transportation Options",""
"scenario 1_knowledge_20_1","Call for roadside assistance",""
"scenario 1_knowledge_34_1","she",""
"scenario 1_knowledge_39_1","miss the flight",""
"scenario 1_knowledge_41_1","Hitchike a ride to the airport",""
"scenario 1_knowledge_43_1","Call a tow truck.",""
"scenario 1_knowledge_45_1","Call an uber",""
"scenario 1_knowledge_54_1","Flag down another car",""
"scenario 1_knowledge_56_1","call a tow truck",""
"scenario 1_knowledge_59_1","Hitchhike",""
"scenario 1_knowledge_68_1","Call a tow truck",""
"scenario 1_knowledge_72_1","start hitchhiking",""
"scenario 1_knowledge_74_1","Call a taxi",""
"scenario 1_knowledge_80_1","Get out and start running",""
"scenario 1_knowledge_83_1","Call for a cab or uber.",""
"scenario 1_knowledge_89_1","be a man and run to the airport",""
"scenario 1_knowledge_93_1","Have his car towed ",""
"scenario 1_knowledge_94_1","contact roadside assistance",""
"scenario 1_knowledge_100_1","Call a taxi or rideshare",""
"scenario 1_knowledge_104_1","Call a friend to pick him up",""
"scenario 1_knowledge_107_1","use a taxi to go to the airport",""
"scenario 1_knowledge_108_1","call for a rideshare or taxi",""
"scenario 1_knowledge_110_1","Give up on making it to the flight",""
"scenario 1_knowledge_111_1","wave someone down for help",""
"scenario 1_knowledge_114_1","call a friend to help deal with the car and call an uber",""
"scenario 1_knowledge_115_1","call an uber or friend",""
"scenario 1_knowledge_121_1","Call a rideshare",""
"scenario 1_knowledge_122_1","call uber",""
"scenario 1_knowledge_125_1","Try to wave down help ",""
"scenario 1_knowledge_127_1","call for a taxi",""
"scenario 1_knowledge_128_1","Call a tow truck and miss the flight",""
"scenario 1_knowledge_133_1","Call a friend or family member for help",""
"scenario 1_knowledge_134_1","call a friend to pick him up and have them deal with the car",""
"scenario 1_knowledge_137_1","Call the airport to ask about delayed flights and moving times.",""
"scenario 1_knowledge_138_1","call a tow",""
"scenario 1_knowledge_145_1","call a cab",""
"scenario 1_knowledge_149_1","flag people town",""
"scenario 1_knowledge_155_1","Call a Uber",""
"scenario 1_knowledge_156_1","Call for Roadside Assistance",""
"scenario 1_knowledge_157_1","Call a friend.",""
"scenario 1_knowledge_159_1","call a family or friend to get the car towed and ride to airport",""
"scenario 1_knowledge_166_1","Call a taxi",""
"scenario 1_knowledge_168_1","Ditch the car and call for some other transportation to pick him up.",""
"scenario 1_knowledge_180_1","call a cab",""
"scenario 1_knowledge_183_1","call for ubber",""
"scenario 1_knowledge_191_1","Call a towing service.",""
"scenario 1_knowledge_194_1","Call AAA for tow",""
"scenario 1_knowledge_198_1","Call for a tow truck",""
"scenario 1_knowledge_201_1","Give up",""
"scenario 1_knowledge_202_1","get an uber to the airport",""
"scenario 1_knowledge_208_1","He could call the airline to see if he could catch a later flight ",""
"scenario 1_knowledge_209_1","Get a taxi or Uber ride to the airport and use his car insurance to get a towing company to take his car back to his home.",""
"scenario 1_knowledge_212_1","he can call for help",""
"scenario 1_knowledge_225_1","Call AAA and tell them the situation so his car could get towed and get a ride to an uber",""
"scenario 1_knowledge_229_1","Call a friend to give him a ride",""
"scenario 1_knowledge_230_1","Call AAA for roadside assistance ",""
"scenario 1_knowledge_234_1","He could call for a tow to the airport so he could park it, catch his flight and fix the car when he comes back.",""
"scenario 1_knowledge_241_1","Call an Uber to the airport",""
"scenario 1_knowledge_242_1","call a tow truck and have them take it to his home",""
"scenario 1_knowledge_252_1","Call for roadside assistance\",""
"scenario 1_knowledge_254_1","get it fixed",""
"scenario 1_knowledge_255_1","Use his phone to call roadside assistance to see if they can do something. ",""
"scenario 1_knowledge_256_1","Call a friend or family member to pick him up or take care of car. ",""
"scenario 1_knowledge_262_1","Call for help",""
"scenario 1_knowledge_267_1","call a tow truck to tow the car and forget about the trip",""
"scenario 1_knowledge_269_1","call a family member to bring him to the airport and check on his car",""
"scenario 1_knowledge_272_1","call for a roadside assistance service ",""
"scenario 1_knowledge_273_1","Call a tow truck",""
"scenario 1_knowledge_274_1","Call AAA for help",""
"scenario 1_knowledge_282_1","call a family member",""
"scenario 1_knowledge_288_1","Josh could call an Uber to pick him up and take him to the airport",""
"scenario 1_knowledge_293_1","call a family member or friend to give him a ride to the airport and handle the broken down car while he continues on his trip",""
"scenario 1_knowledge_299_1","contact a roadside assistance service to help with the car or tow it. ",""
"scenario 1_knowledge_305_1","Josh can get an uber to the airport.",""
"scenario 1_knowledge_307_1","Call a tower.",""
"scenario 1_knowledge_311_1","Walk to the airport.",""
"scenario 1_knowledge_315_1","He can call AAA and have them tow his car and then catch an UBER to the airport.",""
"scenario 1_knowledge_316_1","Call a rideshare",""
"scenario 1_knowledge_317_1","Call for help",""
"scenario 1_knowledge_326_1","call the airline and see if there's a delay",""
"scenario 1_knowledge_351_1","call a tow truck and hope it gets there in time to still make the flight ",""
"scenario 1_knowledge_354_1","Call for help",""
"scenario 1_knowledge_357_1","He could walk there. ",""
"scenario 1_knowledge_372_1","See if he can fix the problem.",""
"scenario 1_knowledge_373_1","Call AAA.",""
"scenario 1_knowledge_374_1","Call for assistance",""
"scenario 1_knowledge_382_1","leave the car to make the flight",""
